id,url,region,region_url,price,year,make,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,image_url,description,county,state,lat,long,posting_date
7311882224,https://fayetteville.craigslist.org/ctd/d/stokesdale-2016-gmc-sierra-2500hd/7311882224.html,fayetteville,https://fayetteville.craigslist.org,52498,2016,gmc,2500,,,diesel,96603,clean,automatic,,4wd,,,black,https://images.craigslist.org/00P0P_fmOFU50piHrz_0cU09G_600x450.jpg,NA,,nc,36.2552,-79.9705,2021-04-24T11:48:30-0400
7311889109,https://greensboro.craigslist.org/ctd/d/stokesdale-2016-gmc-sierra-2500hd/7311889109.html,greensboro,https://greensboro.craigslist.org,52498,2016,gmc,2500,,,diesel,96603,clean,automatic,,4wd,,,,https://images.craigslist.org/00P0P_fmOFU50piHrz_0cU09G_600x450.jpg,NA,,nc,36.2552,-79.9705,2021-04-24T11:59:50-0400
7311891980,https://onslow.craigslist.org/ctd/d/stokesdale-2016-gmc-sierra-2500hd/7311891980.html,jacksonville,https://onslow.craigslist.org,52498,2016,gmc,2500,,,diesel,96603,clean,automatic,,4wd,,,,https://images.craigslist.org/00P0P_fmOFU50piHrz_0cU09G_600x450.jpg,NA,,nc,36.2552,-79.9705,2021-04-24T12:04:20-0400
7311894150,https://florencesc.craigslist.org/ctd/d/stokesdale-2016-gmc-sierra-2500hd/7311894150.html,florence,https://florencesc.craigslist.org,52498,2016,gmc,2500,,,diesel,96603,clean,automatic,,4wd,,,,https://images.craigslist.org/00P0P_fmOFU50piHrz_0cU09G_600x450.jpg,NA,,sc,36.2552,-79.9705,2021-04-24T12:07:52-0400
7311895879,https://macon.craigslist.org/ctd/d/stokesdale-2016-gmc-sierra-2500hd/7311895879.html,macon / warner robins,https://macon.craigslist.org,52498,2016,gmc,2500,,,diesel,96903,clean,automatic,,4wd,,,,https://images.craigslist.org/00P0P_fmOFU50piHrz_0cU09G_600x450.jpg,NA,,ga,36.2552,-79.9705,2021-04-24T12:10:34-0400
7316905259,https://jacksonville.craigslist.org/ctd/d/stokesdale-2020-gmc-denali-3500hd/7316905259.html,jacksonville,https://jacksonville.craigslist.org,89990,2020,gmc,3500,,,diesel,19615,clean,automatic,,4wd,,,,https://images.craigslist.org/00Y0Y_ek2KQrdwRonz_0cU09G_600x450.jpg,NA,,fl,36.2552,-79.9705,2021-05-04T15:57:41-0400
7316897606,https://macon.craigslist.org/ctd/d/stokesdale-2020-gmc-denali-3500hd/7316897606.html,macon / warner robins,https://macon.craigslist.org,89990,2020,gmc,3500,,,diesel,19615,clean,automatic,,4wd,,,,https://images.craigslist.org/00Y0Y_ek2KQrdwRonz_0cU09G_600x450.jpg,NA,,ga,36.2552,-79.9705,2021-05-04T15:44:31-0400
7316831566,https://greensboro.craigslist.org/ctd/d/stokesdale-2020-gmc-denali-3500hd/7316831566.html,greensboro,https://greensboro.craigslist.org,89990,2020,gmc,3500,,,diesel,19615,clean,automatic,,4wd,,,,https://images.craigslist.org/00Y0Y_ek2KQrdwRonz_0cU09G_600x450.jpg,NA,,nc,36.2552,-79.9705,2021-05-04T13:57:26-0400
7316894902,https://raleigh.craigslist.org/ctd/d/stokesdale-2020-gmc-denali-3500hd/7316894902.html,raleigh / durham / CH,https://raleigh.craigslist.org,89990,2020,gmc,3500,,,diesel,19615,clean,automatic,,4wd,,,,https://images.craigslist.org/00Y0Y_ek2KQrdwRonz_0cU09G_600x450.jpg,NA,,nc,36.2552,-79.9705,2021-05-04T15:39:58-0400
7316903447,https://columbia.craigslist.org/ctd/d/stokesdale-2020-gmc-denali-3500hd/7316903447.html,columbia,https://columbia.craigslist.org,89990,2020,gmc,3500,,,diesel,19615,clean,automatic,,,,,,https://images.craigslist.org/00Y0Y_ek2KQrdwRonz_0cU09G_600x450.jpg,NA,,sc,36.2552,-79.9705,2021-05-04T15:54:38-0400
