id,url,region,region_url,price,year,make,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,image_url,description,county,state,lat,long,posting_date
7316150994,https://boston.craigslist.org/gbs/ctd/d/cambridge-2013-infiniti-fx-fx37-sport/7316150994.html,boston,https://boston.craigslist.org,20990,2013,infiniti,fx fx37 sport utility,good,6 cylinders,gas,53270,clean,other,JN8CS1MW3DM174837,,,other,white,https://images.craigslist.org/00P0P_kH1oznr5Zsdz_0gw0co_600x450.jpg,NA,,ma,42.37,-71.11,2021-05-03T09:32:11-0400
7315249611,https://newyork.craigslist.org/jsy/ctd/d/newark-2013-infiniti-fx-fx37-sport/7315249611.html,new york city,https://newyork.craigslist.org,20990,2013,infiniti,fx fx37 sport utility,good,6 cylinders,gas,53270,clean,other,JN8CS1MW3DM174837,,,other,white,https://images.craigslist.org/00P0P_kH1oznr5Zsdz_0gw0co_600x450.jpg,NA,,ny,40.72,-74.17,2021-05-01T09:21:51-0400
7313740332,https://washingtondc.craigslist.org/nva/ctd/d/washington-2013-infiniti-fx-fx37-sport/7313740332.html,"washington, DC",https://washingtondc.craigslist.org,22590,2013,infiniti,fx fx37 sport utility,good,6 cylinders,gas,57014,clean,other,JN8CS1MW1DM174738,,,SUV,,https://images.craigslist.org/00v0v_9XSDoDmVtfmz_0gw0co_600x450.jpg,NA,,dc,38.89,-77.03,2021-04-28T07:32:56-0400
7315303809,https://newyork.craigslist.org/brk/ctd/d/brooklyn-infiniti-fx37-fx-37/7315303809.html,new york city,https://newyork.craigslist.org,15950,2013,infiniti,fx37,,6 cylinders,gas,99620,clean,automatic,JN8CS1MW8DM175028,4wd,,,silver,https://images.craigslist.org/00h0h_39lhARoSLv0z_0CI0t2_600x450.jpg,NA,,ny,40.5979,-73.9743,2021-05-01T11:14:39-0400
7302070425,https://southjersey.craigslist.org/ctd/d/paterson-2013-infiniti-fx37-pmts/7302070425.html,south jersey,https://southjersey.craigslist.org,15795,2013,infiniti,fx37,,,gas,105140,clean,automatic,JN8CS1MW1DM173394,,,other,white,https://images.craigslist.org/01313_71azBXlknhTz_0gw0b1_600x450.jpg,NA,,nj,40.923344,-74.143356,2021-04-05T11:23:21-0400
7312084453,https://newjersey.craigslist.org/ctd/d/paterson-2013-infiniti-fx37-pmts/7312084453.html,north jersey,https://newjersey.craigslist.org,15495,2013,infiniti,fx37,,,gas,105140,clean,automatic,JN8CS1MW1DM173394,,,other,white,https://images.craigslist.org/01313_71azBXlknhTz_0gw0b1_600x450.jpg,NA,,nj,40.923344,-74.143356,2021-04-24T17:23:14-0400
7313078117,https://washingtondc.craigslist.org/nva/ctd/d/manassas-2013-infiniti-fx-fx37-limited/7313078117.html,"washington, DC",https://washingtondc.craigslist.org,16991,2013,infiniti,fx37,,,gas,110364,clean,automatic,JN8CS1MW1DM170186,4wd,,SUV,,https://images.craigslist.org/00J0J_e5P2yU2AGttz_0ak06Q_600x450.jpg,NA,,dc,38.759362,-77.454146,2021-04-26T18:34:31-0400
7314666853,https://washingtondc.craigslist.org/doc/ctd/d/arlington-2013-infiniti-g37-convertible/7314666853.html,"washington, DC",https://washingtondc.craigslist.org,26590,2013,infiniti,g g37 convertible 2d,good,6 cylinders,gas,38468,clean,automatic,JN1CV6FEXDM771605,rwd,,other,black,https://images.craigslist.org/00P0P_lxOxsmuHAZIz_0gw0co_600x450.jpg,NA,,dc,38.87,-77.1,2021-04-29T23:21:07-0400
7314681136,https://westernmass.craigslist.org/ctd/d/springfield-2013-infiniti-g37/7314681136.html,western massachusetts,https://westernmass.craigslist.org,26590,2013,infiniti,g g37 convertible 2d,good,6 cylinders,gas,38468,clean,automatic,JN1CV6FEXDM771605,rwd,,other,black,https://images.craigslist.org/00P0P_lxOxsmuHAZIz_0gw0co_600x450.jpg,NA,,ma,42.11,-72.53,2021-04-30T00:31:32-0400
7313871271,https://hudsonvalley.craigslist.org/ctd/d/kingston-2013-infiniti-g37-convertible/7313871271.html,hudson valley,https://hudsonvalley.craigslist.org,26590,2013,infiniti,g g37 convertible 2d,good,6 cylinders,gas,38468,clean,automatic,JN1CV6FEXDM771605,rwd,,other,black,https://images.craigslist.org/00P0P_lxOxsmuHAZIz_0gw0co_600x450.jpg,NA,,ny,41.93,-73.99,2021-04-28T12:21:44-0400
