id,url,region,region_url,price,year,make,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,image_url,description,county,state,lat,long,posting_date
7315012554,https://washingtondc.craigslist.org/nva/ctd/d/fredericksburg-2017-lincoln-continental/7315012554.html,"washington, DC",https://washingtondc.craigslist.org,16495,2017,lincoln,continental,,,gas,91352,clean,automatic,1LN6L9HK6H5624102,,,other,black,https://images.craigslist.org/00E0E_9Q15OveUobOz_0cU09G_600x450.jpg,NA,,dc,38.25295,-77.50261,2021-04-30T16:45:07-0400
7314309134,https://richmond.craigslist.org/ctd/d/fredericksburg-2017-lincoln-continental/7314309134.html,richmond,https://richmond.craigslist.org,16495,2017,lincoln,continental,,,gas,91352,clean,automatic,1LN6L9HK6H5624102,,,other,black,https://images.craigslist.org/00E0E_9Q15OveUobOz_0cU09G_600x450.jpg,NA,,va,38.25295,-77.50261,2021-04-29T10:55:08-0400
7314796857,https://fredericksburg.craigslist.org/ctd/d/fredericksburg-2017-lincoln-continental/7314796857.html,fredericksburg,https://fredericksburg.craigslist.org,16495,2017,lincoln,continental,,,gas,91352,clean,automatic,1LN6L9HK6H5624102,,,other,black,https://images.craigslist.org/00E0E_9Q15OveUobOz_0cU09G_600x450.jpg,NA,,va,38.25295,-77.50261,2021-04-30T10:45:01-0400
7315380980,https://washingtondc.craigslist.org/nva/ctd/d/manassas-2017-lincoln-continental/7315380980.html,"washington, DC",https://washingtondc.craigslist.org,17995,2017,lincoln,continental,,,gas,103825,clean,automatic,1LN6L9HK7H5610824,,full-size,sedan,black,https://images.craigslist.org/00606_7aLfwpe76Tiz_0cU09G_600x450.jpg,NA,,dc,38.75937,-77.454156,2021-05-01T13:24:20-0400
7307962404,https://westernmass.craigslist.org/cto/d/northampton-2017-lincoln-continental-awd/7307962404.html,western massachusetts,https://westernmass.craigslist.org,14500,2017,lincoln,continental,good,6 cylinders,gas,117200,clean,automatic,,4wd,full-size,sedan,black,https://images.craigslist.org/00m0m_kkem4cH5As2z_0bC0ft_600x450.jpg,NA,,ma,42.3223,-72.6313,2021-04-16T17:42:46-0400
7316784504,https://westernmass.craigslist.org/cto/d/northampton-2017-lincoln-continental/7316784504.html,western massachusetts,https://westernmass.craigslist.org,14200,2017,lincoln,continental,good,6 cylinders,gas,117200,clean,automatic,1LN6L9HK5H5606304,4wd,full-size,sedan,black,https://images.craigslist.org/00K0K_blV9aqjLCzQz_0bC0ft_600x450.jpg,NA,,ma,42.3223,-72.6313,2021-05-04T12:45:14-0400
7306569636,https://cnj.craigslist.org/ctd/d/farmingdale-2018-lincoln-continental/7306569636.html,central NJ,https://cnj.craigslist.org,31495,2018,lincoln,continental,,,gas,20162,clean,automatic,1LN6L9NP4J5610088,,,,,https://images.craigslist.org/00303_66kJX50ipYLz_0ak06T_600x450.jpg,NA,,nj,40.2043,-74.1779,2021-04-14T06:33:22-0400
7314826115,https://newyork.craigslist.org/brk/cto/d/brooklyn-2019-lincoln-continental/7314826115.html,new york city,https://newyork.craigslist.org,21995,2019,lincoln,continental awd gas auto,like new,6 cylinders,gas,85789,clean,automatic,,4wd,full-size,sedan,black,https://images.craigslist.org/00909_3NUUmJ4bKEl_0CI0t2_600x450.jpg,NA,,ny,40.6424,-73.9758,2021-04-30T11:35:54-0400
7305226128,https://nwct.craigslist.org/ctd/d/collinsville-2017-lincoln-continental/7305226128.html,northwest CT,https://nwct.craigslist.org,30590,2017,lincoln,continental premiere,good,,other,10537,clean,other,1LN6L9VK1H5636372,,,sedan,,https://images.craigslist.org/00u0u_jP6GDFIFDl2z_0gw0co_600x450.jpg,NA,,ct,41.81,-72.9,2021-04-11T13:31:00-0400
7316775131,https://boston.craigslist.org/gbs/ctd/d/cambridge-2017-lincoln-continental/7316775131.html,boston,https://boston.craigslist.org,30590,2017,lincoln,continental premiere,good,,other,10537,clean,other,1LN6L9VK1H5636372,,,sedan,,https://images.craigslist.org/00u0u_jP6GDFIFDl2z_0gw0co_600x450.jpg,NA,,ma,42.37,-71.11,2021-05-04T12:31:06-0400
