id,url,region,region_url,price,year,make,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,image_url,description,county,state,lat,long,posting_date
7304327736,https://jerseyshore.craigslist.org/cto/d/manasquan-2014-mercedes-benz/7304327736.html,jersey shore,https://jerseyshore.craigslist.org,47900,2014,mercedes-benz,550sl,like new,8 cylinders,gas,12200,lien,automatic,,rwd,full-size,convertible,red,https://images.craigslist.org/00n0n_douAnsxBUMYz_0CI0t2_600x450.jpg,NA,,nj,40.1217,-74.0611,2021-04-09T15:32:30-0400
7304046214,https://southjersey.craigslist.org/ctd/d/farmingdale-2019-mercedes-benz-class/7304046214.html,south jersey,https://southjersey.craigslist.org,26495,2019,mercedes-benz,a-class,,,gas,1692,clean,automatic,WDD3G4EB2KW034313,,,,,https://images.craigslist.org/00b0b_7m42mVlivugz_0ak06T_600x450.jpg,NA,,nj,40.2043,-74.1779,2021-04-09T04:43:01-0400
7314691211,https://southjersey.craigslist.org/ctd/d/farmingdale-2019-mercedes-benz-class/7314691211.html,south jersey,https://southjersey.craigslist.org,26995,2019,mercedes-benz,a-class,,,gas,8299,clean,automatic,WDD3G4EB0KW023469,,,,,https://images.craigslist.org/00w0w_auKLUaRbVNdz_0ak06T_600x450.jpg,NA,,nj,40.2043,-74.1779,2021-04-30T01:45:10-0400
7304006529,https://southjersey.craigslist.org/ctd/d/farmingdale-2020-mercedes-benz-class/7304006529.html,south jersey,https://southjersey.craigslist.org,27995,2020,mercedes-benz,a-class,,,gas,3395,clean,automatic,W1K3G4EB9LW044306,,,,,https://images.craigslist.org/00b0b_jnuS0cNAtBwz_0ak06T_600x450.jpg,NA,,nj,40.2043,-74.1779,2021-04-08T23:10:36-0400
7316146183,https://washingtondc.craigslist.org/nva/ctd/d/washington-2019-mercedes-benz-class-220/7316146183.html,"washington, DC",https://washingtondc.craigslist.org,30990,2019,mercedes-benz,a-class a 220,good,,other,10512,clean,other,WDD3G4FB2KW023147,,,sedan,white,https://images.craigslist.org/00606_fbAI21MTyUmz_0gw0co_600x450.jpg,NA,,dc,38.89,-77.03,2021-05-03T09:21:39-0400
7311941916,https://baltimore.craigslist.org/ctd/d/baltimore-2020-mercedes-benz-class-220/7311941916.html,baltimore,https://baltimore.craigslist.org,35590,2020,mercedes-benz,a-class a 220,good,,other,1668,clean,other,W1K3G4EB8LW044894,,,sedan,white,https://images.craigslist.org/01212_55QWnXPXRhuz_0gw0co_600x450.jpg,NA,,md,39.3,-76.61,2021-04-24T13:21:04-0400
7311787295,https://baltimore.craigslist.org/ctd/d/baltimore-2020-mercedes-benz-class-220/7311787295.html,baltimore,https://baltimore.craigslist.org,29990,2020,mercedes-benz,a-class a 220,good,,gas,18028,clean,other,W1K3G4EBXLJ204366,fwd,,sedan,silver,https://images.craigslist.org/00c0c_2xPydS29Xpyz_0gw0co_600x450.jpg,NA,,md,39.3,-76.61,2021-04-24T08:23:57-0400
7315742749,https://newyork.craigslist.org/jsy/ctd/d/newark-2020-mercedes-benz-class-220/7315742749.html,new york city,https://newyork.craigslist.org,29990,2020,mercedes-benz,a-class a 220,good,,gas,20055,clean,other,W1K3G4EB4LW047243,fwd,,sedan,black,https://images.craigslist.org/00B0B_cwwR9c22mC3z_0gw0co_600x450.jpg,NA,,ny,40.72,-74.17,2021-05-02T10:51:34-0400
7315055988,https://chambersburg.craigslist.org/cto/d/chambersburg-2016-mercedes-benz-amg-gt/7315055988.html,cumberland valley,https://chambersburg.craigslist.org,75999,2016,mercedes-benz,amg,,,gas,24860,clean,automatic,WDDYJ7JA1GA007260,,,,,https://images.craigslist.org/00q0q_8gA5Ke7Zy6Vz_0cK08u_600x450.jpg,NA,,md,39.9313,-77.6579,2021-04-30T18:08:24-0400
7309111915,https://columbusga.craigslist.org/ctd/d/mercedes-benz-class-250e-car-navigation/7309111915.html,columbus,https://columbusga.craigslist.org,14998,2015,mercedes-benz,b-class,,,electric,26803,clean,automatic,,fwd,mid-size,SUV,blue,https://images.craigslist.org/00404_hvg9sbigH7Sz_0gw0co_600x450.jpg,NA,,ga,,,2021-04-19T03:43:33-0400
7309112660,https://macon.craigslist.org/ctd/d/mercedes-benz-class-250e-car-navigation/7309112660.html,macon / warner robins,https://macon.craigslist.org,14998,2015,mercedes-benz,b-class,,,electric,26803,clean,automatic,,fwd,mid-size,SUV,blue,https://images.craigslist.org/00404_hvg9sbigH7Sz_0gw0co_600x450.jpg,NA,,ga,,,2021-04-19T03:53:29-0400
7309115237,https://nwga.craigslist.org/ctd/d/mercedes-benz-class-250e-car-navigation/7309115237.html,northwest GA,https://nwga.craigslist.org,14998,2015,mercedes-benz,b-class,,,electric,26803,clean,automatic,,fwd,mid-size,SUV,blue,https://images.craigslist.org/00404_hvg9sbigH7Sz_0gw0co_600x450.jpg,NA,,ga,,,2021-04-19T04:27:33-0400
7309116821,https://lexington.craigslist.org/ctd/d/mercedes-benz-class-250e-car-navigation/7309116821.html,lexington,https://lexington.craigslist.org,14998,2015,mercedes-benz,b-class,,,electric,26803,clean,automatic,,fwd,mid-size,SUV,blue,https://images.craigslist.org/00404_hvg9sbigH7Sz_0gw0co_600x450.jpg,NA,,ky,,,2021-04-19T04:47:32-0400
7309110860,https://charlotte.craigslist.org/ctd/d/mercedes-benz-class-250e-car-navigation/7309110860.html,charlotte,https://charlotte.craigslist.org,14998,2015,mercedes-benz,b-class,,,electric,26803,clean,automatic,,fwd,mid-size,SUV,blue,https://images.craigslist.org/00404_hvg9sbigH7Sz_0gw0co_600x450.jpg,NA,,nc,,,2021-04-19T03:29:26-0400
7309111458,https://asheville.craigslist.org/ctd/d/mercedes-benz-class-250e-car-navigation/7309111458.html,asheville,https://asheville.craigslist.org,14998,2015,mercedes-benz,b-class,,,electric,26803,clean,automatic,,fwd,mid-size,SUV,blue,https://images.craigslist.org/00404_hvg9sbigH7Sz_0gw0co_600x450.jpg,NA,,nc,,,2021-04-19T03:37:24-0400
7309111657,https://greensboro.craigslist.org/ctd/d/mercedes-benz-class-250e-car-navigation/7309111657.html,greensboro,https://greensboro.craigslist.org,14998,2015,mercedes-benz,b-class,,,electric,26803,clean,automatic,,fwd,mid-size,SUV,blue,https://images.craigslist.org/00404_hvg9sbigH7Sz_0gw0co_600x450.jpg,NA,,nc,,,2021-04-19T03:40:01-0400
7309112221,https://hickory.craigslist.org/ctd/d/mercedes-benz-class-250e-car-navigation/7309112221.html,hickory / lenoir,https://hickory.craigslist.org,14998,2015,mercedes-benz,b-class,,,electric,26803,clean,automatic,,fwd,mid-size,SUV,blue,https://images.craigslist.org/00404_hvg9sbigH7Sz_0gw0co_600x450.jpg,NA,,nc,,,2021-04-19T03:47:36-0400
7309112399,https://raleigh.craigslist.org/ctd/d/mercedes-benz-class-250e-car-navigation/7309112399.html,raleigh / durham / CH,https://raleigh.craigslist.org,14998,2015,mercedes-benz,b-class,,,electric,26803,clean,automatic,,fwd,mid-size,SUV,blue,https://images.craigslist.org/00404_hvg9sbigH7Sz_0gw0co_600x450.jpg,NA,,nc,,,2021-04-19T03:50:04-0400
7309113146,https://winstonsalem.craigslist.org/ctd/d/mercedes-benz-class-250e-car-navigation/7309113146.html,winston-salem,https://winstonsalem.craigslist.org,14998,2015,mercedes-benz,b-class,,,electric,26803,clean,automatic,,fwd,mid-size,SUV,blue,https://images.craigslist.org/00404_hvg9sbigH7Sz_0gw0co_600x450.jpg,NA,,nc,,,2021-04-19T04:00:08-0400
7309113637,https://fayetteville.craigslist.org/ctd/d/mercedes-benz-class-250e-car-navigation/7309113637.html,fayetteville,https://fayetteville.craigslist.org,14998,2015,mercedes-benz,b-class,,,electric,26803,clean,automatic,,fwd,mid-size,SUV,blue,https://images.craigslist.org/00404_hvg9sbigH7Sz_0gw0co_600x450.jpg,NA,,nc,,,2021-04-19T04:07:26-0400
7309114916,https://eastnc.craigslist.org/ctd/d/mercedes-benz-class-250e-car-navigation/7309114916.html,eastern NC,https://eastnc.craigslist.org,14998,2015,mercedes-benz,b-class,,,electric,26803,clean,automatic,,fwd,mid-size,SUV,blue,https://images.craigslist.org/00404_hvg9sbigH7Sz_0gw0co_600x450.jpg,NA,,nc,,,2021-04-19T04:23:29-0400
7309117301,https://onslow.craigslist.org/ctd/d/mercedes-benz-class-250e-car-navigation/7309117301.html,jacksonville,https://onslow.craigslist.org,14998,2015,mercedes-benz,b-class,,,electric,26803,clean,automatic,,fwd,mid-size,SUV,blue,https://images.craigslist.org/00404_hvg9sbigH7Sz_0gw0co_600x450.jpg,NA,,nc,,,2021-04-19T04:53:30-0400
7309118152,https://wilmington.craigslist.org/ctd/d/mercedes-benz-class-250e-car-navigation/7309118152.html,wilmington,https://wilmington.craigslist.org,14998,2015,mercedes-benz,b-class,,,electric,26803,clean,automatic,,fwd,mid-size,SUV,blue,https://images.craigslist.org/00404_hvg9sbigH7Sz_0gw0co_600x450.jpg,NA,,nc,,,2021-04-19T05:03:35-0400
7309116105,https://columbus.craigslist.org/ctd/d/mercedes-benz-class-250e-car-navigation/7309116105.html,columbus,https://columbus.craigslist.org,14998,2015,mercedes-benz,b-class,,,electric,26803,clean,automatic,,fwd,mid-size,SUV,blue,https://images.craigslist.org/00404_hvg9sbigH7Sz_0gw0co_600x450.jpg,NA,,oh,,,2021-04-19T04:37:26-0400
7309113839,https://columbia.craigslist.org/ctd/d/mercedes-benz-class-250e-car-navigation/7309113839.html,columbia,https://columbia.craigslist.org,14998,2015,mercedes-benz,b-class,,,electric,26803,clean,automatic,,fwd,mid-size,SUV,blue,https://images.craigslist.org/00404_hvg9sbigH7Sz_0gw0co_600x450.jpg,NA,,sc,,,2021-04-19T04:10:00-0400
