id,url,region,region_url,price,year,make,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,image_url,description,county,state,lat,long,posting_date
7313653890,https://jerseyshore.craigslist.org/ctd/d/farmingdale-2017-land-rover-discovery/7313653890.html,jersey shore,https://jerseyshore.craigslist.org,42995,2017,rover,discovery,,,gas,15782,clean,automatic,SALRHBBV3HA040415,,,,,https://images.craigslist.org/00V0V_fQmyrrHBOu9z_0ak06T_600x450.jpg,NA,,nj,40.2043,-74.1779,2021-04-27T21:28:06-0400
7310029721,https://cnj.craigslist.org/ctd/d/farmingdale-2017-land-rover-discovery/7310029721.html,central NJ,https://cnj.craigslist.org,43995,2017,rover,discovery,,,gas,27002,clean,automatic,SALRHBBV8HA021245,,,,,https://images.craigslist.org/00707_7KciCVowEWOz_0ak06T_600x450.jpg,NA,,nj,40.2043,-74.1779,2021-04-20T16:54:12-0400
7316915977,https://buffalo.craigslist.org/ctd/d/2018-land-rover-discovery-hse/7316915977.html,buffalo,https://buffalo.craigslist.org,46495,2018,rover,discovery,,6 cylinders,gas,36637,clean,automatic,SALRR2RV0JA060968,4wd,mid-size,SUV,grey,https://images.craigslist.org/00E0E_ceEyxknoG4lz_0gw0co_600x450.jpg,NA,,ny,,,2021-05-04T16:15:17-0400
7314495201,https://boston.craigslist.org/bmw/ctd/d/boston-2017-land-rover-discovery-se/7314495201.html,boston,https://boston.craigslist.org,39590,2017,rover,discovery se sport,good,,other,25137,clean,other,SALRGBBV4HA044024,4wd,,other,white,https://images.craigslist.org/00l0l_9U083t1Xw2Cz_0gw0co_600x450.jpg,NA,,ma,42.35,-71.06,2021-04-29T16:11:39-0400
7315296359,https://washingtondc.craigslist.org/nva/ctd/d/washington-2019-land-rover-discovery-se/7315296359.html,"washington, DC",https://washingtondc.craigslist.org,36990,2019,rover,discovery se sport,good,,other,31161,clean,other,SALRG2RV3KA093762,4wd,,other,black,https://images.craigslist.org/00C0C_aMUNzkvh5ulz_0gw0co_600x450.jpg,NA,,dc,38.89,-77.03,2021-05-01T11:01:24-0400
7310002286,https://southjersey.craigslist.org/ctd/d/paterson-2015-land-rover-discovery/7310002286.html,south jersey,https://southjersey.craigslist.org,19695,2015,rover,discovery sport,,,gas,94638,clean,automatic,SALCR2BG7FH543003,,,SUV,white,https://images.craigslist.org/00U0U_hM3XuS1mDI0z_0gw0b1_600x450.jpg,NA,,nj,40.923344,-74.143356,2021-04-20T16:05:48-0400
7310010239,https://cnj.craigslist.org/ctd/d/paterson-2015-land-rover-discovery/7310010239.html,central NJ,https://cnj.craigslist.org,19695,2015,rover,discovery sport,,,gas,94638,clean,automatic,SALCR2BG7FH543003,,,SUV,white,https://images.craigslist.org/00U0U_hM3XuS1mDI0z_0gw0b1_600x450.jpg,NA,,nj,40.923344,-74.143356,2021-04-20T16:19:42-0400
7310051067,https://newjersey.craigslist.org/ctd/d/paterson-2015-land-rover-discovery/7310051067.html,north jersey,https://newjersey.craigslist.org,19695,2015,rover,discovery sport,,,gas,94638,clean,automatic,SALCR2BG7FH543003,,,SUV,white,https://images.craigslist.org/00U0U_hM3XuS1mDI0z_0gw0b1_600x450.jpg,NA,,nj,40.923344,-74.143356,2021-04-20T17:35:17-0400
7310422307,https://longisland.craigslist.org/ctd/d/stop-by-and-test-drive-this-2016-land/7310422307.html,long island,https://longisland.craigslist.org,23995,2016,rover,discovery sport,excellent,4 cylinders,gas,50602,clean,automatic,SALCR2BG3GH594578,4wd,,other,black,https://images.craigslist.org/00c0c_cH2Wt3zQ7UXz_0ew0aT_600x450.jpg,NA,,ny,,,2021-04-21T13:30:49-0400
7305242088,https://newlondon.craigslist.org/ctd/d/cohoes-2016-land-rover-discovery-sport/7305242088.html,eastern CT,https://newlondon.craigslist.org,23900,2016,rover,discovery sport,excellent,4 cylinders,gas,60412,clean,automatic,SALCR2BG3GH553173,4wd,full-size,SUV,black,https://images.craigslist.org/00G0G_7yx8coPsBM9z_0kE0fu_600x450.jpg,NA,,ct,42.777828,-73.74899,2021-04-11T13:59:10-0400
7310081057,https://newlondon.craigslist.org/ctd/d/cohoes-2016-land-rover-discovery-sport/7310081057.html,eastern CT,https://newlondon.craigslist.org,23900,2016,rover,discovery sport,excellent,4 cylinders,gas,60412,clean,automatic,SALCR2BG3GH553173,4wd,full-size,SUV,black,https://images.craigslist.org/00G0G_7yx8coPsBM9z_0kE0fu_600x450.jpg,NA,,ct,42.777828,-73.74899,2021-04-20T18:37:58-0400
7313148749,https://newlondon.craigslist.org/ctd/d/cohoes-2016-land-rover-discovery-sport/7313148749.html,eastern CT,https://newlondon.craigslist.org,23900,2016,rover,discovery sport,excellent,4 cylinders,gas,60412,clean,automatic,SALCR2BG3GH553173,4wd,full-size,SUV,black,https://images.craigslist.org/00R0R_7QyHgQgUd0Cz_0kE0fu_600x450.jpg,NA,,ct,42.777828,-73.74899,2021-04-26T21:21:28-0400
7314095730,https://newhaven.craigslist.org/ctd/d/cohoes-2016-land-rover-discovery-sport/7314095730.html,new haven,https://newhaven.craigslist.org,23900,2016,rover,discovery sport,excellent,4 cylinders,gas,60412,clean,automatic,SALCR2BG3GH553173,4wd,full-size,SUV,black,https://images.craigslist.org/00R0R_7QyHgQgUd0Cz_0kE0fu_600x450.jpg,NA,,ct,42.777828,-73.74899,2021-04-28T19:01:20-0400
7302880324,https://westernmass.craigslist.org/ctd/d/cohoes-2016-land-rover-discovery-sport/7302880324.html,western massachusetts,https://westernmass.craigslist.org,23900,2016,rover,discovery sport,excellent,4 cylinders,gas,60412,clean,automatic,SALCR2BG3GH553173,4wd,full-size,SUV,black,https://images.craigslist.org/00G0G_7yx8coPsBM9z_0kE0fu_600x450.jpg,NA,,ma,42.777828,-73.74899,2021-04-06T19:05:35-0400
7306976251,https://capecod.craigslist.org/ctd/d/cohoes-2016-land-rover-discovery-sport/7306976251.html,cape cod / islands,https://capecod.craigslist.org,23900,2016,rover,discovery sport,excellent,4 cylinders,gas,60412,clean,automatic,SALCR2BG3GH553173,4wd,full-size,SUV,black,https://images.craigslist.org/00G0G_7yx8coPsBM9z_0kE0fu_600x450.jpg,NA,,ma,42.777828,-73.74899,2021-04-14T19:59:38-0400
7310082047,https://capecod.craigslist.org/ctd/d/cohoes-2016-land-rover-discovery-sport/7310082047.html,cape cod / islands,https://capecod.craigslist.org,23900,2016,rover,discovery sport,excellent,4 cylinders,gas,60412,clean,automatic,SALCR2BG3GH553173,4wd,full-size,SUV,black,https://images.craigslist.org/00G0G_7yx8coPsBM9z_0kE0fu_600x450.jpg,NA,,ma,42.777828,-73.74899,2021-04-20T18:40:08-0400
7313149322,https://capecod.craigslist.org/ctd/d/cohoes-2016-land-rover-discovery-sport/7313149322.html,cape cod / islands,https://capecod.craigslist.org,23900,2016,rover,discovery sport,excellent,4 cylinders,gas,60412,clean,automatic,SALCR2BG3GH553173,4wd,full-size,SUV,black,https://images.craigslist.org/00R0R_7QyHgQgUd0Cz_0kE0fu_600x450.jpg,NA,,ma,42.777828,-73.74899,2021-04-26T21:23:07-0400
7314096247,https://westernmass.craigslist.org/ctd/d/cohoes-2016-land-rover-discovery-sport/7314096247.html,western massachusetts,https://westernmass.craigslist.org,23900,2016,rover,discovery sport,excellent,4 cylinders,gas,60412,clean,automatic,SALCR2BG3GH553173,4wd,full-size,SUV,black,https://images.craigslist.org/00R0R_7QyHgQgUd0Cz_0kE0fu_600x450.jpg,NA,,ma,42.777828,-73.74899,2021-04-28T19:02:31-0400
7302879408,https://albany.craigslist.org/ctd/d/cohoes-2016-land-rover-discovery-sport/7302879408.html,albany,https://albany.craigslist.org,23900,2016,rover,discovery sport,excellent,4 cylinders,gas,60412,clean,automatic,SALCR2BG3GH553173,4wd,full-size,SUV,black,https://images.craigslist.org/00G0G_7yx8coPsBM9z_0kE0fu_600x450.jpg,NA,,ny,42.777828,-73.74899,2021-04-06T19:03:37-0400
7305240294,https://albany.craigslist.org/ctd/d/cohoes-2016-land-rover-discovery-sport/7305240294.html,albany,https://albany.craigslist.org,23900,2016,rover,discovery sport,excellent,4 cylinders,gas,60412,clean,automatic,SALCR2BG3GH553173,4wd,full-size,SUV,black,https://images.craigslist.org/00G0G_7yx8coPsBM9z_0kE0fu_600x450.jpg,NA,,ny,42.777828,-73.74899,2021-04-11T13:56:00-0400
7306974590,https://albany.craigslist.org/ctd/d/cohoes-2016-land-rover-discovery-sport/7306974590.html,albany,https://albany.craigslist.org,23900,2016,rover,discovery sport,excellent,4 cylinders,gas,60412,clean,automatic,SALCR2BG3GH553173,4wd,full-size,SUV,black,https://images.craigslist.org/00G0G_7yx8coPsBM9z_0kE0fu_600x450.jpg,NA,,ny,42.777828,-73.74899,2021-04-14T19:55:48-0400
7306980181,https://watertown.craigslist.org/ctd/d/cohoes-2016-land-rover-discovery-sport/7306980181.html,watertown,https://watertown.craigslist.org,23900,2016,rover,discovery sport,excellent,4 cylinders,gas,60412,clean,automatic,SALCR2BG3GH553173,4wd,full-size,SUV,black,https://images.craigslist.org/00G0G_7yx8coPsBM9z_0kE0fu_600x450.jpg,NA,,ny,42.777828,-73.74899,2021-04-14T20:09:11-0400
