id,url,region,region_url,price,year,make,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,image_url,description,county,state,lat,long,posting_date
7316736072,https://cnj.craigslist.org/ctd/d/farmingdale-2019-subaru-ascent-crystal/7316736072.html,central NJ,https://cnj.craigslist.org,29995,2019,subaru,ascent,,,gas,4454,clean,automatic,4S4WMAPDXK3416535,,,,,https://images.craigslist.org/00N0N_3zw7JUx9aN3z_0ak06T_600x450.jpg,NA,,nj,40.2043,-74.1779,2021-05-04T11:29:11-0400
7307597695,https://southjersey.craigslist.org/ctd/d/farmingdale-2019-subaru-ascent-crimson/7307597695.html,south jersey,https://southjersey.craigslist.org,29995,2019,subaru,ascent,,,gas,17556,clean,automatic,4S4WMAPD8K3435911,,,,,https://images.craigslist.org/00m0m_lvlYE6m82tkz_0ak06T_600x450.jpg,NA,,nj,40.2043,-74.1779,2021-04-16T05:39:08-0400
7316791247,https://cnj.craigslist.org/ctd/d/farmingdale-2019-subaru-ascent-crystal/7316791247.html,central NJ,https://cnj.craigslist.org,24995,2019,subaru,ascent,,,gas,27633,clean,automatic,4S4WMAFD1K3426095,,,,,https://images.craigslist.org/00R0R_88CiiNMQ64sz_0ak06T_600x450.jpg,NA,,nj,40.2043,-74.1779,2021-05-04T12:55:51-0400
7307639799,https://worcester.craigslist.org/ctd/d/worcester-2019-subaru-ascent-limited/7307639799.html,worcester / central MA,https://worcester.craigslist.org,34721,2019,subaru,ascent,,,gas,28333,clean,automatic,4S4WMALD5K3406680,,,,,https://images.craigslist.org/01717_7RuWx2wN3rqz_09Q07v_600x450.jpg,NA,,ma,42.20939,-71.808262,2021-04-16T09:02:19-0400
7306271529,https://charlottesville.craigslist.org/cto/d/staunton-2021-subaru-ascent-120k-mi/7306271529.html,charlottesville,https://charlottesville.craigslist.org,41500,2021,subaru,ascent limited,,,gas,908,lien,automatic,,,,,silver,https://images.craigslist.org/00s0s_1nUaEjm4ORnz_0t20CI_600x450.jpg,NA,,va,38.1574,-79.0651,2021-04-13T14:12:10-0400
7315249762,https://newyork.craigslist.org/jsy/ctd/d/newark-2019-subaru-ascent-premium-sport/7315249762.html,new york city,https://newyork.craigslist.org,30990,2019,subaru,ascent premium sport,good,,gas,16161,clean,other,4S4WMAFD6K3466673,,,other,,https://images.craigslist.org/00E0E_hIagwpeo4M2z_0gw0co_600x450.jpg,NA,,ny,40.72,-74.17,2021-05-01T09:22:09-0400
7314669375,https://washingtondc.craigslist.org/nva/ctd/d/washington-2019-subaru-ascent-premium/7314669375.html,"washington, DC",https://washingtondc.craigslist.org,30990,2019,subaru,ascent premium sport,good,,gas,17632,clean,other,4S4WMAFD0K3467799,,,other,red,https://images.craigslist.org/01313_bPm4KgHWSDEz_0gw0co_600x450.jpg,NA,,dc,38.89,-77.03,2021-04-29T23:32:05-0400
7309367222,https://southjersey.craigslist.org/ctd/d/burlington-2013-subaru-brz-miles-75908/7309367222.html,south jersey,https://southjersey.craigslist.org,17595,2013,subaru,brz,,4 cylinders,gas,75908,clean,manual,JF1ZCAC14D1609719,rwd,,other,,https://images.craigslist.org/01717_8CpdyjitKpSz_0ak07K_600x450.jpg,NA,,nj,40.068,-74.8454,2021-04-19T14:03:20-0400
7314942241,https://longisland.craigslist.org/ctd/d/massapequa-park-2015-subaru-brz-speed/7314942241.html,long island,https://longisland.craigslist.org,19985,2015,subaru,brz,,,gas,59296,clean,manual,JF1ZCAC10F9602089,,sub-compact,coupe,blue,https://images.craigslist.org/00Q0Q_6aT2GI40tLCz_0gw0b0_600x450.jpg,NA,,ny,40.66898,-73.42878,2021-04-30T14:44:21-0400
7315004497,https://newhaven.craigslist.org/ctd/d/new-haven-2015-subaru-brz-limited-coupe/7315004497.html,new haven,https://newhaven.craigslist.org,18990,2015,subaru,brz limited coupe 2d,good,,other,92471,clean,other,JF1ZCAC11F8604049,rwd,,coupe,white,https://images.craigslist.org/00J0J_dgeRyAcTXzOz_0gw0co_600x450.jpg,NA,,ct,41.31,-72.92,2021-04-30T16:31:10-0400
