id,url,region,region_url,price,year,make,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,image_url,description,county,state,lat,long,posting_date
7311282181,https://cnj.craigslist.org/cto/d/hightstown-2013-volvo-c30-t5/7311282181.html,central NJ,https://cnj.craigslist.org,14000,2013,volvo,c30 t5,like new,,gas,58500,clean,automatic,,,,,,https://images.craigslist.org/00X0X_1c3yF0SGTtMz_0CI0t2_600x450.jpg,NA,,nj,40.2669,-74.525,2021-04-23T09:00:53-0400
7309923656,https://utica.craigslist.org/cto/d/oneida-2013-volvo-c70-hardtop/7309923656.html,utica-rome-oneida,https://utica.craigslist.org,17250,2013,volvo,c70,excellent,5 cylinders,gas,79204,clean,automatic,YV1672MC2DJ140440,fwd,mid-size,convertible,silver,https://images.craigslist.org/00x0x_5BfvP30Goz8z_0CI0t2_600x450.jpg,NA,,ny,43.0862,-75.6508,2021-04-20T13:59:32-0400
7315323733,https://nh.craigslist.org/ctd/d/madbury-2013-volvo-c70-convertible-last/7315323733.html,new hampshire,https://nh.craigslist.org,12995,2013,volvo,c70 convertible,excellent,5 cylinders,gas,102000,clean,automatic,YV1672MC6DJ138349,fwd,,convertible,black,https://images.craigslist.org/00z0z_a3J2HzXUJM6z_0e40ay_600x450.jpg,NA,,nh,43.176335,-70.913975,2021-05-01T11:49:55-0400
7315709680,https://boston.craigslist.org/gbs/ctd/d/cambridge-2013-volvo-c70-t5-platinum/7315709680.html,boston,https://boston.craigslist.org,18590,2013,volvo,c70 t5 platinum,good,,gas,79346,clean,other,YV1672MCXDJ143005,fwd,,other,black,https://images.craigslist.org/00o0o_6FA3Tf6tOEAz_0gw0co_600x450.jpg,NA,,ma,42.37,-71.11,2021-05-02T09:25:38-0400
7315780201,https://newyork.craigslist.org/brk/ctd/d/brooklyn-2013-volvo-c70-t5-platinum/7315780201.html,new york city,https://newyork.craigslist.org,18590,2013,volvo,c70 t5 platinum,good,,gas,79346,clean,other,YV1672MCXDJ143005,fwd,,other,black,https://images.craigslist.org/00o0o_6FA3Tf6tOEAz_0gw0co_600x450.jpg,NA,,ny,40.64,-73.94,2021-05-02T12:11:07-0400
7316298245,https://longisland.craigslist.org/ctd/d/ronkonkoma-2013-volvo-c70-t5-platinum/7316298245.html,long island,https://longisland.craigslist.org,18590,2013,volvo,c70 t5 platinum,good,,gas,79346,clean,other,YV1672MCXDJ143005,fwd,,other,black,https://images.craigslist.org/00o0o_6FA3Tf6tOEAz_0gw0co_600x450.jpg,NA,,ny,40.8,-73.12,2021-05-03T13:31:30-0400
7316264277,https://pittsburgh.craigslist.org/ctd/d/pittsburgh-2013-volvo-c70-t5-platinum/7316264277.html,pittsburgh,https://pittsburgh.craigslist.org,18590,2013,volvo,c70 t5 platinum,good,,gas,79346,clean,other,YV1672MCXDJ143005,fwd,,other,black,https://images.craigslist.org/00o0o_6FA3Tf6tOEAz_0gw0co_600x450.jpg,NA,,pa,40.43,-79.97,2021-05-03T12:41:02-0400
7316967276,https://boston.craigslist.org/bmw/ctd/d/boston-2013-volvo-c70-t5-premier-plus/7316967276.html,boston,https://boston.craigslist.org,20590,2013,volvo,c70 t5 premier plus,good,,other,68968,clean,other,YV1672MC5DJ138830,,,other,black,https://images.craigslist.org/00R0R_lwWjXSEWNa7z_0x20oM_600x450.jpg,NA,,ma,42.35,-71.06,2021-05-04T17:50:45-0400
7316977716,https://worcester.craigslist.org/ctd/d/worcester-2013-volvo-c70-t5-premier/7316977716.html,worcester / central MA,https://worcester.craigslist.org,20590,2013,volvo,c70 t5 premier plus,good,,other,68968,clean,other,YV1672MC5DJ138830,,,other,black,https://images.craigslist.org/00R0R_lwWjXSEWNa7z_0x20oM_600x450.jpg,NA,,ma,42.26,-71.8,2021-05-04T18:11:53-0400
7316986686,https://newyork.craigslist.org/lgi/ctd/d/ronkonkoma-2013-volvo-c70-t5-premier/7316986686.html,new york city,https://newyork.craigslist.org,20590,2013,volvo,c70 t5 premier plus,good,,other,68968,clean,other,YV1672MC5DJ138830,,,other,black,https://images.craigslist.org/00R0R_lwWjXSEWNa7z_0x20oM_600x450.jpg,NA,,ny,40.8,-73.12,2021-05-04T18:30:52-0400
7316952125,https://providence.craigslist.org/ctd/d/providence-2013-volvo-c70-t5-premier/7316952125.html,rhode island,https://providence.craigslist.org,20590,2013,volvo,c70 t5 premier plus,good,,other,68968,clean,other,YV1672MC5DJ138830,,,other,black,https://images.craigslist.org/00R0R_lwWjXSEWNa7z_0x20oM_600x450.jpg,NA,,ri,41.82,-71.41,2021-05-04T17:20:57-0400
7313907959,https://washingtondc.craigslist.org/mld/cto/d/washington-volvo-s60-t5-2013/7313907959.html,"washington, DC",https://washingtondc.craigslist.org,4850,2013,volvo,s60,good,6 cylinders,gas,156,salvage,automatic,,4wd,mid-size,sedan,black,https://images.craigslist.org/00404_7smFn3K4dDnz_0t20CI_600x450.jpg,NA,,dc,38.889,-76.9189,2021-04-28T13:18:07-0400
7310991697,https://baltimore.craigslist.org/ctd/d/baltimore-2013-volvo-s60-4dr-sdn-t5-awd/7310991697.html,baltimore,https://baltimore.craigslist.org,14890,2013,volvo,s60,,,gas,59525,clean,automatic,YV1612FH4D1213964,,compact,sedan,black,https://images.craigslist.org/00b0b_ikJYYWq5f7Pz_0cU09G_600x450.jpg,NA,,md,39.3545,-76.69921,2021-04-22T15:10:33-0400
7314882102,https://worcester.craigslist.org/ctd/d/worcester-2013-volvo-s60-t5-clean/7314882102.html,worcester / central MA,https://worcester.craigslist.org,12955,2013,volvo,s60,,,gas,80582,clean,other,YV1612FH3D2209642,4wd,,sedan,,https://images.craigslist.org/00T0T_39ESvWcryGtz_0ak07K_600x450.jpg,NA,,ma,42.262501,-71.802803,2021-04-30T13:05:36-0400
7305876251,https://vermont.craigslist.org/ctd/d/milton-2013-volvo-s60-4dr-sdn-t5-awd/7305876251.html,vermont,https://vermont.craigslist.org,10990,2013,volvo,s60,excellent,5 cylinders,gas,80658,clean,automatic,YV1612FH9D2181569,4wd,,sedan,black,https://images.craigslist.org/00j0j_hiBJBrjepLnz_0kE0fu_600x450.jpg,NA,,vt,44.664737,-73.111428,2021-04-12T17:33:46-0400
7308262228,https://hartford.craigslist.org/ctd/d/wolcott-2013-volvo-s60-t5/7308262228.html,hartford,https://hartford.craigslist.org,8400,2013,volvo,s60,excellent,4 cylinders,gas,97000,clean,automatic,,fwd,mid-size,sedan,white,https://images.craigslist.org/00J0J_ktyPnAboyEnz_0x20oM_600x450.jpg,NA,,ct,41.589162,-72.99153,2021-04-17T11:42:01-0400
7313801797,https://boston.craigslist.org/nos/ctd/d/salem-2013-volvo-s60-t5-call-text-today/7313801797.html,boston,https://boston.craigslist.org,10999,2013,volvo,s60,,,gas,118154,clean,automatic,,fwd,,sedan,silver,https://images.craigslist.org/00E0E_8NLVWuTEydRz_0jm0ew_600x450.jpg,NA,,ma,42.765709,-71.235073,2021-04-28T10:23:48-0400
7310360640,https://maine.craigslist.org/ctd/d/salem-2013-volvo-s60-t5-call-text-today/7310360640.html,maine,https://maine.craigslist.org,10999,2013,volvo,s60,,,gas,118154,clean,automatic,,fwd,,sedan,silver,https://images.craigslist.org/00303_8aj6rPn8Mr9z_0jm0ew_600x450.jpg,NA,,me,42.765709,-71.235073,2021-04-21T11:56:29-0400
7316761146,https://nh.craigslist.org/ctd/d/salem-2013-volvo-s60-t5-call-text-today/7316761146.html,new hampshire,https://nh.craigslist.org,10999,2013,volvo,s60,,,gas,118154,clean,automatic,,fwd,,sedan,silver,https://images.craigslist.org/00E0E_8NLVWuTEydRz_0jm0ew_600x450.jpg,NA,,nh,42.765709,-71.235073,2021-05-04T12:09:24-0400
7310348187,https://vermont.craigslist.org/ctd/d/salem-2013-volvo-s60-t5-call-text-today/7310348187.html,vermont,https://vermont.craigslist.org,10999,2013,volvo,s60,,,gas,118154,clean,automatic,,fwd,,sedan,silver,https://images.craigslist.org/00303_8aj6rPn8Mr9z_0jm0ew_600x450.jpg,NA,,vt,42.765709,-71.235073,2021-04-21T11:36:30-0400
7314986497,https://lancaster.craigslist.org/ctd/d/ephrata-2013-volvo-s60-awd/7314986497.html,lancaster,https://lancaster.craigslist.org,9400,2013,volvo,s60,excellent,,gas,121000,clean,automatic,,4wd,mid-size,sedan,silver,https://images.craigslist.org/00x0x_12lzb20O4f7z_0CI0t2_600x450.jpg,NA,,pa,40.170466,-76.168127,2021-04-30T15:59:43-0400
7309448460,https://lancaster.craigslist.org/ctd/d/mount-joy-2013-volvo-s60-awd/7309448460.html,lancaster,https://lancaster.craigslist.org,10998,2013,volvo,s60,good,4 cylinders,gas,122458,clean,automatic,YV1612FHXD1919160,4wd,mid-size,sedan,orange,https://images.craigslist.org/00T0T_kYWjqA1Sid1z_0CI0o3_600x450.jpg,NA,,pa,40.1104,-76.4771,2021-04-19T16:02:00-0400
7314995172,https://maine.craigslist.org/cto/d/cumberland-center-2014-volvo-s60-t5-all/7314995172.html,maine,https://maine.craigslist.org,13500,2014,volvo,s60,excellent,5 cylinders,gas,63800,clean,automatic,,4wd,mid-size,sedan,grey,https://images.craigslist.org/01515_bigX0y53NPWz_0t20CI_600x450.jpg,NA,,me,43.7974,-70.2649,2021-04-30T16:14:33-0400
7314967757,https://newjersey.craigslist.org/ctd/d/chesterfield-2014-volvo-s60-t5/7314967757.html,north jersey,https://newjersey.craigslist.org,12899,2014,volvo,s60,,,gas,90366,clean,automatic,YV1612FS8E1284274,fwd,compact,sedan,white,https://images.craigslist.org/00i0i_as5ZO4Ereq6z_0eu0aS_600x450.jpg,NA,,nj,40.13519,-74.70357,2021-04-30T15:25:51-0400
7314982002,https://southjersey.craigslist.org/ctd/d/chesterfield-2014-volvo-s60-t5/7314982002.html,south jersey,https://southjersey.craigslist.org,12899,2014,volvo,s60,,,gas,90366,clean,automatic,YV1612FS8E1284274,fwd,compact,sedan,white,https://images.craigslist.org/00i0i_as5ZO4Ereq6z_0eu0aS_600x450.jpg,NA,,nj,40.13519,-74.70357,2021-04-30T15:51:06-0400
7314995850,https://newyork.craigslist.org/brk/ctd/d/chesterfield-2014-volvo-s60-t5/7314995850.html,new york city,https://newyork.craigslist.org,12899,2014,volvo,s60,,,gas,90366,clean,automatic,YV1612FS8E1284274,fwd,compact,sedan,white,https://images.craigslist.org/00i0i_as5ZO4Ereq6z_0eu0aS_600x450.jpg,NA,,ny,40.13519,-74.70357,2021-04-30T16:15:37-0400
7314968507,https://philadelphia.craigslist.org/ctd/d/chesterfield-2014-volvo-s60-t5/7314968507.html,philadelphia,https://philadelphia.craigslist.org,12899,2014,volvo,s60,,,gas,90366,clean,automatic,YV1612FS8E1284274,fwd,compact,sedan,white,https://images.craigslist.org/00i0i_as5ZO4Ereq6z_0eu0aS_600x450.jpg,NA,,pa,40.13519,-74.70357,2021-04-30T15:27:13-0400
